ID,Título,Área Tapa (cm2) [Cont.],Palabras/Pág (Prom.) [Cont.],Cant. Páginas [Disc.],Cant. Imágenes [Disc.]
1,babar,727.65,35,316,316
2,rayuela,360,342,627,0
3,cronica del pajaro...,235.95,374,903,0
4,shinrin yoku,329.16,196.3,191,191
5,alas nocturnas,259.29,200,382,0
6,hemingway cuentos,228,339.9,594,0
7,cuentos policiales jlborges,306.6,267.8,328,0
8,matadero cinco,260,385,188,0
9,la torre de la soledad,239.4,396,317,0
10,el lector,223.85,350.2,203,0
11,el arte de la guerra,214.17,339.9,94,0
12,angeles y demonios,191.77,370.8,606,3
13,el cuento de la criada,308,334.8,412,0
14,capitaes da areia,294,418.1,256,27
15,el señor de  las moscas,219.6,257.3,286,0
